position	pc_adapters	sample	adapter	read_pair	stage
120	0.23390379209435957	SRR8663602	polya	2	dedup
122	0.23461760910502852	SRR8663602	polya	2	dedup
124	0.2352436617291398	SRR8663602	polya	2	dedup
126	0.2357117384574473	SRR8663602	polya	2	dedup
128	0.23606572148322985	SRR8663602	polya	2	dedup
130	0.2362353992972413	SRR8663602	polya	2	dedup
132	0.2363436420406624	SRR8663602	polya	2	dedup
134	0.23639044971349316	SRR8663602	polya	2	dedup
136	0.236396300672597	SRR8663602	polya	2	dedup
138	0.236396300672597	SRR8663602	polya	2	dedup
1	0.002105845174215972	SRR8663603	polya	1	dedup
2	0.005388265766054391	SRR8663603	polya	1	dedup
3	0.006377488410170078	SRR8663603	polya	1	dedup
4	0.0074941109402703624	SRR8663603	polya	1	dedup
5	0.008610733470370646	SRR8663603	polya	1	dedup
6	0.010087073325603907	SRR8663603	polya	1	dedup
7	0.01157840140271771	SRR8663603	polya	1	dedup
8	0.013272070475218811	SRR8663603	polya	1	dedup
9	0.014958245436779642	SRR8663603	polya	1	dedup
10	0.01723645516262183	SRR8663603	polya	1	dedup
12	0.02103222235386877	SRR8663603	polya	1	dedup
14	0.024494501608273676	SRR8663603	polya	1	dedup
16	0.028571297959780757	SRR8663603	polya	1	dedup
18	0.03290289408325703	SRR8663603	polya	1	dedup
20	0.037309431316135996	SRR8663603	polya	1	dedup
22	0.041730956770895514	SRR8663603	polya	1	dedup
24	0.04729908119951639	SRR8663603	polya	1	dedup
26	0.05621332616296798	SRR8663603	polya	1	dedup
28	0.06225732663629603	SRR8663603	polya	1	dedup
30	0.06773552173363366	SRR8663603	polya	1	dedup
32	0.073648375265507	SRR8663603	polya	1	dedup
34	0.0792839466925903	SRR8663603	polya	1	dedup
36	0.08365676042623806	SRR8663603	polya	1	dedup
38	0.08808577999193784	SRR8663603	polya	1	dedup
40	0.09227124095207884	SRR8663603	polya	1	dedup
42	0.09628808441606375	SRR8663603	polya	1	dedup
44	0.10040984543321244	SRR8663603	polya	1	dedup
46	0.10495877077395656	SRR8663603	polya	1	dedup
48	0.1095751431131631	SRR8663603	polya	1	dedup
50	0.11382805107176652	SRR8663603	polya	1	dedup
52	0.1178823650904528	SRR8663603	polya	1	dedup
54	0.1218130262786246	SRR8663603	polya	1	dedup
56	0.1252865466994399	SRR8663603	polya	1	dedup
58	0.12907481977974658	SRR8663603	polya	1	dedup
60	0.1328668399155234	SRR8663603	polya	1	dedup
62	0.13643403672309207	SRR8663603	polya	1	dedup
64	0.1403234803010924	SRR8663603	polya	1	dedup
66	0.1442953590994357	SRR8663603	polya	1	dedup
68	0.14845459067128575	SRR8663603	polya	1	dedup
70	0.1525313870227928	SRR8663603	polya	1	dedup
72	0.15643581882267366	SRR8663603	polya	1	dedup
74	0.16026905656862195	SRR8663603	polya	1	dedup
76	0.16404983553798835	SRR8663603	polya	1	dedup
78	0.1676132852900869	SRR8663603	polya	1	dedup
80	0.1716151405321913	SRR8663603	polya	1	dedup
82	0.17604041304242096	SRR8663603	polya	1	dedup
84	0.18010596822751762	SRR8663603	polya	1	dedup
86	0.18339213587482617	SRR8663603	polya	1	dedup
88	0.1869181150722234	SRR8663603	polya	1	dedup
90	0.19031294732816584	SRR8663603	polya	1	dedup
92	0.19370777958410834	SRR8663603	polya	1	dedup
94	0.19713258828381186	SRR8663603	polya	1	dedup
96	0.20032507954436704	SRR8663603	polya	1	dedup
98	0.20335270036423625	SRR8663603	polya	1	dedup
100	0.206200462521539	SRR8663603	polya	1	dedup
102	0.20898827179131957	SRR8663603	polya	1	dedup
104	0.21158498123212327	SRR8663603	polya	1	dedup
106	0.214294102337031	SRR8663603	polya	1	dedup
108	0.21696200583176725	SRR8663603	polya	1	dedup
110	0.21943506244205646	SRR8663603	polya	1	dedup
112	0.22193809549610677	SRR8663603	polya	1	dedup
114	0.22423878755476978	SRR8663603	polya	1	dedup
116	0.22622097989847129	SRR8663603	polya	1	dedup
118	0.228236895741404	SRR8663603	polya	1	dedup
120	0.22960457098800335	SRR8663603	polya	1	dedup
122	0.2309947285674235	SRR8663603	polya	1	dedup
124	0.23223500392803825	SRR8663603	polya	1	dedup
126	0.23323172068309422	SRR8663603	polya	1	dedup
128	0.23395864944430045	SRR8663603	polya	1	dedup
