taxid	name
2560239	Tijeunavirus
2560240	Tortellinivirus
2560241	Tottorivirus
2560242	Trinavirus
2560244	Secunda5virus
2560245	Unahavirus
2560247	Vhulanivirus
2560248	Vicosavirus
2560249	Vidquintavirus
2560250	Vieuvirus
2560251	Vividuovirus
2560252	Wamavirus
2560253	Weaselvirus
2560254	Wenrivirus
2560255	Wilnyevirus
2560256	Winklervirus
2560257	Yvonnevirus
2560258	Zybavirus
2731207	Fairfaxidumvirus
2731621	Taipeivirus
2731671	Pettyvirus
2731672	Daemvirus
2731673	Gutovirus
2731674	Kaohsiungvirus
2731675	Murciavirus
2731676	Trungvirus
2731677	Uliginvirus
2731926	Aegirvirus
2731927	Ashivirus
2731928	Atuphduovirus
2731929	Ayakvirus
2731930	Ayaqvirus
2731931	Banchanvirus
2731932	Bonnellvirus
2731933	Cheungvirus
2731934	Chosvirus
2731935	Cuernavacavirus
2731936	Cyclitvirus
2731937	Ermolevavirus
2731938	Foturvirus
2731939	Foussvirus
2731940	Fussvirus
2731941	Gajwadongvirus
2731942	Gyeongsanvirus
2731943	Igirivirus
2731944	Jalkavirus
2731945	Jiaoyazivirus
2731946	Kafavirus
2731947	Kajamvirus
2731948	Kakivirus
2731949	Kalppathivirus
2731950	Kelmasvirus
2731951	Kembevirus
2731952	Krakvirus
2731953	Lauvirus
2731954	Limelightvirus
2731955	Lingvirus
2731956	Lirvirus
2731957	Lullwatervirus
2731958	Maculvirus
2731959	Nohivirus
2731960	Oinezvirus
2731961	Paadamvirus
2731962	Pagavirus
2731963	Pairvirus
2731964	Pedosvirus
2731965	Pekhitvirus
2731966	Pelagivirus
2731967	Percyvirus
2731968	Piedvirus
2731969	Podivirus
2731970	Poseidonvirus
2731971	Powvirus
2731972	Qadamvirus
2731973	Scottvirus
2731974	Sednavirus
2731975	Serkorvirus
2731976	Sieqvirus
2731977	Stompelvirus
2731978	Stopalavirus
2731979	Stopavirus
2731980	Stupnyavirus
2731981	Tangaroavirus
2731982	Tawavirus
2731983	Tiamatvirus
2731984	Tiilvirus
2731985	Tritonvirus
2731986	Voetvirus
2731987	Votkovvirus
2731988	Waewaevirus
2731989	Wuhanvirus
2732016	Vipunavirus
2732017	Epseptimavirus
2732018	Haartmanvirus
2732037	Pogseptimavirus
2732038	Shenzhenvirus
2732049	Nouzillyvirus
2732050	Sauletekiovirus
2732051	Vilniusvirus
2732061	Christensenvirus
2732062	Guelphvirus
2732063	Loudonvirus
2732064	Eastlansingvirus
2732065	Lindendrivevirus
2732066	Wilsonroadvirus
2732068	Warwickvirus
2732086	Badaguanvirus
2732099	Suturavirus
2732589	Andhravirus
2732653	Torbevirus
2732675	Aarhusvirus
2732676	Apdecimavirus
2732677	Berlinvirus
2732678	Caroctavirus
2732679	Chatterjeevirus
2732680	Eapunavirus
2732681	Elunavirus
2732682	Foetvirus
2732683	Ghunavirus
2732684	Helsettvirus
2732685	Jarilovirus
2732686	Kayfunavirus
2732687	Minipunavirus
2732688	Ningirsuvirus
2732689	Pektosvirus
2732690	Phutvirus
2732691	Pifdecavirus
2732692	Pijolavirus
2732693	Teetrevirus
2732694	Troedvirus
2732695	Unyawovirus
2732869	Affertcholeramvirus
2732870	Bifilivirus
2732871	Capistrivirus
2732872	Coriovirus
2732873	Infulavirus
2732874	Parhipatevirus
2732875	Primolicivirus
2732876	Psecadovirus
2732877	Restivirus
2732878	Scuticavirus
2732879	Staminivirus
2732880	Subteminivirus
2732881	Tertilicivirus
2732882	Thomixvirus
2732883	Versovirus
2732884	Vicialiavirus
2732885	Villovirus
2732886	Xylivirus
2732909	Tunggulvirus
2732910	Aerosvirus
2732911	Aghbyvirus
2732912	Ahphunavirus
2732913	Cronosvirus
2732914	Panjvirus
2732915	Pienvirus
2732916	Pokrovskaiavirus
2732917	Wanjuvirus
2732918	Acadevirus
2732920	Kantovirus
2732921	Kotilavirus
2732922	Stompvirus
2732923	Kirikabuvirus
2732924	Stubburvirus
2732925	Axomammavirus
2732926	Eracentumvirus
2732927	Tuodvirus
2732928	Vectrevirus
